Time [h],Current [A],Terminal voltage [V],Discharge capacity [A.h],Volume-averaged cell temperature [K],Actual resistance [Ohm]
0.4674467446744675,2.3,3.8649646515420812,1.075127512751304,297.2909077,1.6804194137139485
0.4676467646764677,2.3,3.864870228321329,1.0755875587559045,297.2909077,1.6803783601397084
0.4678467846784678,2.3,3.864775823109915,1.076047604760505,297.2909077,1.6803373143956155
0.46804680468046805,2.3,3.864681435909125,1.0765076507651055,297.2909077,1.6802962764822282
0.46824682468246825,2.3,3.864587066720239,1.076967696769706,297.2909077,1.680255246400104
0.4684468446844685,2.3,3.8644927155445408,1.0774277427743064,297.2909077,1.6802142241498004
0.4686468646864686,2.3,3.8643983823833135,1.077887788778907,297.2909077,1.6801732097318756
0.46884688468846886,2.3,3.86430406723784,1.0783478347835074,297.2909077,1.680132203146887
0.46904690469046906,2.3,3.8642097701094036,1.0788078807881079,297.2909077,1.680091204395393
0.4692469246924693,2.3,3.8641154909992865,1.0792679267927083,297.2909077,1.6800502134779507
0.46944694469446946,2.3,3.864021229908772,1.0797279727973088,297.2909077,1.6800092303951184
0.46964696469646966,2.3,3.8639269868391435,1.0801880188019093,297.2909077,1.6799682551474537
0.46984698469846986,2.3,3.863832761791684,1.0806480648065098,297.2909077,1.679927287735515
0.47004700470047006,2.3,3.8637385547676777,1.0811081108111102,297.2909077,1.67988632815986
0.47024702470247026,2.3,3.863644365768405,1.0815681568157107,297.2909077,1.679845376421046
0.4704470447044705,2.3,3.8635501947951516,1.0820282028203112,297.2909077,1.6798044325196313
0.47064706470647066,2.3,3.8634560418491977,1.0824882488249117,297.2909077,1.679763496456173
0.47084708470847086,2.3,3.863361906931829,1.0829482948295122,297.2909077,1.6797225682312302
0.47104710471047107,2.3,3.8632677900443264,1.0834083408341126,297.2909077,1.6796816478453593
0.4712471247124713,2.3,3.8631736911879755,1.0838683868387131,297.2909077,1.6796407352991198
0.47144714471447147,2.3,3.8630796103640566,1.0843284328433136,297.2909077,1.6795998305930682
0.4716471647164716,2.3,3.862985547573854,1.084788478847914,297.2909077,1.6795589337277628
0.47184718471847187,2.3,3.862891502818652,1.0852485248525146,297.2909077,1.6795180447037619
0.47204720472047207,2.3,3.8627974760997317,1.085708570857115,297.2909077,1.6794771635216226
0.4722472247224723,2.3,3.8627034674183762,1.0861686168617155,297.2909077,1.6794362901819029
0.4724472447244724,2.3,3.8626094767758703,1.086628662866316,297.2909077,1.6793954246851612
0.47264726472647267,2.3,3.862515504173494,1.0870887088709165,297.2909077,1.679354567031954
0.47284728472847287,2.3,3.862421549612534,1.087548754875517,297.2909077,1.679313717222841
0.47304730473047313,2.3,3.862327613094269,1.0880088008801174,297.2909077,1.679272875258378
0.4732473247324732,2.3,3.862233694619985,1.088468846884718,297.2909077,1.679232041139124
0.4734473447344735,2.3,3.862139794190964,1.0889288928893184,297.2909077,1.6791912148656367
0.4736473647364737,2.3,3.862045911808489,1.0893889388939189,297.2909077,1.6791503964384735
0.4738473847384739,2.3,3.861952047473842,1.0898489848985193,297.2909077,1.6791095858581921
0.4740474047404741,2.3,3.8618582011883062,1.0903090309031198,297.2909077,1.6790687831253506
0.4742474247424742,2.3,3.8617643729531648,1.0907690769077203,297.2909077,1.6790279882405066
0.4744474447444745,2.3,3.861670562769699,1.0912291229123208,297.2909077,1.678987201204217
0.4746474647464746,2.3,3.8615767706391937,1.0916891689169212,297.2909077,1.678946422017041
0.4748474847484749,2.3,3.861482996562929,1.0921492149215217,297.2909077,1.6789056506795346
0.475047504750475,2.3,3.8613892405421897,1.0926092609261222,297.2909077,1.6788648871922565
0.4752475247524753,2.3,3.8612955025782574,1.0930693069307227,297.2909077,1.6788241315557642
0.4754475447544754,2.3,3.861201782672414,1.0935293529353232,297.2909077,1.6787833837706148
0.4756475647564757,2.3,3.861108080825943,1.0939893989399236,297.2909077,1.6787426438373667
0.4758475847584759,2.3,3.861014397040126,1.0944494449445241,297.2909077,1.6787019117565767
0.4760476047604761,2.3,3.860920731316245,1.0949094909491246,297.2909077,1.6786611875288022
0.47624762476247623,2.3,3.860827083655583,1.095369536953725,297.2909077,1.6786204711546013
0.4764476447644765,2.3,3.8607334540594214,1.0958295829583256,297.2909077,1.6785797626345311
0.4766476647664767,2.3,3.860639842529044,1.096289628962926,297.2909077,1.6785390619691496
0.47684768476847683,2.3,3.8605462490657305,1.0967496749675265,297.2909077,1.6784983691590134
0.47704770477047703,2.3,3.860452673670765,1.097209720972127,297.2909077,1.6784576842046806
0.4772477247724773,2.3,3.8603591163454274,1.0976697669767275,297.2909077,1.6784170071067077
0.4774477447744775,2.3,3.860265577091001,1.098129812981328,297.2909077,1.6783763378656527
0.4776477647764777,2.3,3.8601720559087673,1.0985898589859284,297.2909077,1.678335676482073
0.47784778477847784,2.3,3.8600785528000077,1.099049904990529,297.2909077,1.6782950229565252
0.47804780478047804,2.3,3.859985067766004,1.0995099509951294,297.2909077,1.678254377289567
0.4782478247824783,2.3,3.859891600808038,1.0999699969997299,297.2909077,1.6782137394817558
0.47844784478447844,2.3,3.8597981519273903,1.1004300430043303,297.2909077,1.678173109533648
0.4786478647864787,2.3,3.8597047211253424,1.1008900890089308,297.2909077,1.6781324874458012
0.47884788478847884,2.3,3.859611308403177,1.1013501350135313,297.2909077,1.6780918732187726
0.4790479047904791,2.3,3.859517913762173,1.1018101810181318,297.2909077,1.6780512668531187
0.47924792479247924,2.3,3.8594245372036133,1.1022702270227323,297.2909077,1.6780106683493972
0.4794479447944795,2.3,3.8593311787287776,1.1027302730273327,297.2909077,1.6779700777081643
0.47964796479647964,2.3,3.859237838338948,1.1031903190319332,297.2909077,1.6779294949299774
0.4798479847984799,2.3,3.8591445160354048,1.1036503650365337,297.2909077,1.6778889200153935
0.48004800480048004,2.3,3.8590512118194282,1.1041104110411342,297.2909077,1.6778483529649688
0.4802480248024803,2.3,3.8589579256922995,1.1045704570457346,297.2909077,1.6778077937792608
0.4804480448044805,2.3,3.8588646576552987,1.1050305030503351,297.2909077,1.6777672424588257
0.4806480648064806,2.3,3.858771407709707,1.1054905490549356,297.2909077,1.6777266990042206
0.48084808480848085,2.3,3.8586781758568023,1.105950595059536,297.2909077,1.6776861634160012
0.48104810481048105,2.3,3.858584962097867,1.1064106410641366,297.2909077,1.677645635694725
0.4812481248124813,2.3,3.8584917664341805,1.106870687068737,297.2909077,1.6776051158409482
0.4814481448144814,2.3,3.858398588867024,1.1073307330733375,297.2909077,1.6775646038552279
0.48164816481648165,2.3,3.8583054293976735,1.107790779077938,297.2909077,1.6775240997381191
0.48184818481848185,2.3,3.8582122880274126,1.1082508250825385,297.2909077,1.6774836034901794
0.4820482048204821,2.3,3.858119164757519,1.108710871087139,297.2909077,1.6774431151119649
0.48224822482248225,2.3,3.8580260595892724,1.1091709170917394,297.2909077,1.6774026346040316
0.48244824482448245,2.3,3.8579329725239515,1.10963096309634,297.2909077,1.6773621619669357
0.48264826482648265,2.3,3.8578399035628363,1.1100910091009404,297.2909077,1.6773216972012333
0.4828482848284829,2.3,3.8577468527072045,1.1105510551055409,297.2909077,1.6772812403074804
0.48304830483048306,2.3,3.857653819958337,1.1110111011101413,297.2909077,1.6772407912862335
0.4832483248324833,2.3,3.8575608053175108,1.1114711471147418,297.2909077,1.6772003501380484
0.48344834483448346,2.3,3.857467808786004,1.1119311931193423,297.2909077,1.67715991686348
0.4836483648364837,2.3,3.8573748303650963,1.1123912391239428,297.2909077,1.6771194914630856
0.48384838483848386,2.3,3.8572818700560667,1.1128512851285433,297.2909077,1.6770790739374204
0.4840484048404841,2.3,3.8571889278601903,1.1133113311331437,297.2909077,1.6770386642870394
0.48424842484248426,2.3,3.8570960037787474,1.1137713771377442,297.2909077,1.676998262512499
0.4844484448444844,2.3,3.857003097813016,1.1142314231423447,297.2909077,1.676957868614355
0.48464846484648466,2.3,3.8569102099642714,1.1146914691469452,297.2909077,1.6769174825931616
0.48484848484848486,2.3,3.8568173402337926,1.1151515151515456,297.2909077,1.6768771044494752
0.4850485048504851,2.3,3.856724488622856,1.1156115611561461,297.2909077,1.6768367341838506
0.4852485248524852,2.3,3.856631655132742,1.1160716071607466,297.2909077,1.6767963717968444
0.48544854485448546,2.3,3.8565388397647236,1.116531653165347,297.2909077,1.6767560172890104
0.48564856485648566,2.3,3.8564460425200773,1.1169916991699476,297.2909077,1.6767156706609032
0.4858485848584859,2.3,3.856353263400083,1.117451745174548,297.2909077,1.6766753319130796
0.486048604860486,2.3,3.856260502406015,1.1179117911791485,297.2909077,1.6766350010460935
0.48624862486248627,2.3,3.8561677595391486,1.118371837183749,297.2909077,1.6765946780604994
0.48644864486448647,2.3,3.856075034800762,1.1188318831883495,297.2909077,1.6765543629568531
0.4866486648664867,2.3,3.855982328192129,1.11929192919295,297.2909077,1.6765140557357083
0.48684868486848687,2.3,3.855889639714527,1.1197519751975504,297.2909077,1.6764737563976206
0.487048704870487,2.3,3.8557969693692304,1.120212021202151,297.2909077,1.6764334649431438
0.48724872487248727,2.3,3.8557043171575147,1.1206720672067514,297.2909077,1.6763931813728326
0.48744874487448747,2.3,3.855611683080654,1.1211321132113519,297.2909077,1.676352905687241
0.4876487648764877,2.3,3.855519067139924,1.1215921592159523,297.2909077,1.6763126378869235
0.4878487848784878,2.3,3.8554264693365994,1.1220522052205528,297.2909077,1.6762723779724347
0.4880488048804881,2.3,3.8553338896719533,1.1225122512251533,297.2909077,1.6762321259443276
0.4882488248824882,2.3,3.8552413281472644,1.1229722972297538,297.2909077,1.6761918818031585
0.4884488448844885,2.3,3.8551487847637986,1.1234323432343543,297.2909077,1.6761516455494778
0.4886488648864887,2.3,3.855056259522836,1.1238923892389547,297.2909077,1.6761114171838418
0.4888488848884889,2.3,3.8549637524256495,1.1243524352435552,297.2909077,1.6760711967068043
0.489048904890489,2.3,3.8548712634735103,1.1248124812481557,297.2909077,1.6760309841189176
0.4892489248924893,2.3,3.8547787926676906,1.1252725272527562,297.2909077,1.6759907794207352
0.4894489448944895,2.3,3.8546863400094673,1.1257325732573567,297.2909077,1.675950582612812
0.4896489648964897,2.3,3.854593905500109,1.1261926192619571,297.2909077,1.6759103936956996
0.4898489848984898,2.3,3.8545014891408904,1.1266526652665576,297.2909077,1.6758702126699525
0.4900490049004901,2.3,3.8544090909330833,1.127112711271158,297.2909077,1.6758300395361232
0.4902490249024903,2.3,3.854316710877958,1.1275727572757586,297.2909077,1.6757898742947646
0.49044904490449054,2.3,3.854224348976787,1.128032803280359,297.2909077,1.6757497169464293
0.49064906490649063,2.3,3.8541320052308414,1.1284928492849595,297.2909077,1.6757095674916702
0.49084908490849083,2.3,3.8540396796413936,1.12895289528956,297.2909077,1.6756694259310407
0.4910491049104911,2.3,3.853947372209713,1.1294129412941605,297.2909077,1.6756292922650928
0.4912491249124913,2.3,3.853855082937071,1.129872987298761,297.2909077,1.6755891664943787
0.4914491449144915,2.3,3.8537628118247373,1.1303330333033614,297.2909077,1.675549048619451
0.49164916491649163,2.3,3.8536705588739824,1.130793079307962,297.2909077,1.675508938640862
0.4918491849184919,2.3,3.853578324086074,1.1312531253125624,297.2909077,1.6754688365591628
0.49204920492049203,2.3,3.8534861074622864,1.1317131713171629,297.2909077,1.6754287423749072
0.4922492249224923,2.3,3.8533939090038833,1.1321732173217633,297.2909077,1.675388656088645
0.49244924492449244,2.3,3.8533017287121365,1.1326332633263638,297.2909077,1.675348577700929
0.4926492649264927,2.3,3.853209566588314,1.1330933093309643,297.2909077,1.6753085072123106
0.49284928492849284,2.3,3.853117422633686,1.1335533553355648,297.2909077,1.675268444623342
0.4930493049304931,2.3,3.8530252968495167,1.1340134013401653,297.2909077,1.6752283899345726
0.4932493249324933,2.3,3.8529331892370773,1.1344734473447657,297.2909077,1.6751883431465555
0.49344934493449344,2.3,3.8528410997976352,1.1349334933493662,297.2909077,1.6751483042598416
0.49364936493649364,2.3,3.8527490285324553,1.1353935393539667,297.2909077,1.6751082732749807
0.49384938493849384,2.3,3.8526569754428044,1.1358535853585672,297.2909077,1.6750682501925238
0.4940494049404941,2.3,3.852564940529951,1.1363136313631677,297.2909077,1.6750282350130223
0.49424942494249424,2.3,3.8524729237951605,1.1367736773677681,297.2909077,1.6749882277370265
0.49444944494449444,2.3,3.852380925239698,1.1372337233723686,297.2909077,1.674948228365086
0.49464946494649464,2.3,3.8522889448648305,1.137693769376969,297.2909077,1.6749082368977526
0.4948494849484949,2.3,3.8521969826718223,1.1381538153815696,297.2909077,1.674868253335575
0.4950495049504951,2.3,3.852105038661939,1.13861386138617,297.2909077,1.674828277679104
0.49524952495249525,2.3,3.8520131128364454,1.1390739073907705,297.2909077,1.6747883099288894
0.49544954495449545,2.3,3.851921205196604,1.139533953395371,297.2909077,1.67474835008548
0.4956495649564957,2.3,3.8518293157436805,1.1399939993999715,297.2909077,1.6747083981494264
0.49584958495849585,2.3,3.851737444478937,1.140454045404572,297.2909077,1.674668454121277
0.4960496049604961,2.3,3.851645591403639,1.1409140914091724,297.2909077,1.6746285180015823
0.49624962496249625,2.3,3.8515537565190456,1.141374137413773,297.2909077,1.6745885897908894
0.4964496449644965,2.3,3.8514619398264234,1.1418341834183734,297.2909077,1.6745486694897493
0.49664966496649665,2.3,3.8513701413270325,1.1422942294229739,297.2909077,1.6745087570987098
